LOCATION_NAME,DATE_PERSIAN,WATER_TABLE,WATER_TABLE_INTERPOLATE,LEVEL,THISSEN_LOCATION,THISSEN_AQUIFER,HEAD_LOCATION,HEAD_AQUIFER_ARITHMETIC,HEAD_AQUIFER_THISSEN
ST_01,1391-10-15,19.61,19.61,1000,73.72,624.66,980.40,731.95,742.67
ST_02,1391-10-15,18.55,18.55,790,68.33,624.66,771.45,731.95,742.67
ST_03,1391-10-15,59.51,59.51,700,89.39,624.66,640.49,731.95,742.67
ST_04,1391-10-15,28.38,28.38,700,57.42,624.66,671.62,731.95,742.67
ST_05,1391-10-15,44.35,44.35,950,78.24,624.66,905.65,731.95,742.67
ST_06,1391-10-15,44.83,44.83,690,68.71,624.66,645.17,731.95,742.67
ST_07,1391-10-15,30.24,30.24,750,58.53,624.66,719.77,731.95,742.67
ST_08,1391-10-15,28.11,28.11,550,43.97,624.66,521.89,731.95,742.67
ST_09,1391-10-15,18.48,18.48,950,42.39,624.66,931.52,731.95,742.67
ST_10,1391-10-15,23.50,23.50,555,43.97,624.66,531.50,731.95,742.67
ST_01,1395-8-15,,23.77,,,,,701.21,715.92
ST_02,1395-8-15,29.79,29.79,790,132.54,624.66,760.21,701.21,715.92
ST_03,1395-8-15,63.02,63.02,700,89.39,624.66,636.98,701.21,715.92
ST_04,1395-8-15,28.87,28.87,700,57.42,624.66,671.13,701.21,715.92
ST_05,1395-8-15,46.57,46.57,950,87.74,624.66,903.43,701.21,715.92
ST_06,1395-8-15,49.13,49.13,690,68.71,624.66,640.87,701.21,715.92
ST_07,1395-8-15,29.04,29.04,750,58.53,624.66,720.97,701.21,715.92
ST_08,1395-8-15,30.38,30.38,550,43.97,624.66,519.62,701.21,715.92
ST_09,1395-8-15,21.81,21.81,950,42.39,624.66,928.19,701.21,715.92
ST_10,1395-8-15,25.54,25.54,555,43.97,624.66,529.46,701.21,715.92
